year,round,grid,positionOrder
2018,1,3,1
2018,1,1,2
2018,1,2,3
2018,1,8,4
2018,1,10,5
2018,1,4,6
2018,1,7,7
2018,1,15,8
2018,1,11,9
2018,1,9,10
2018,1,12,11
2018,1,14,12
2018,1,18,13
2018,1,13,14
2018,1,16,15
2018,1,6,16
2018,1,5,17
2018,1,20,18
2018,1,17,19
2018,1,19,20
2018,2,1,1
2018,2,3,2
2018,2,9,3
2018,2,5,4
2018,2,6,5
2018,2,7,6
2018,2,13,7
2018,2,14,8
2018,2,17,9
2018,2,8,10
2018,2,10,11
2018,2,19,12
2018,2,16,13
2018,2,20,14
2018,2,18,15
2018,2,12,16
2018,2,11,17
2018,2,2,18
2018,2,15,19
2018,2,4,20
2018,3,6,1
2018,3,3,2
2018,3,2,3
2018,3,4,4
2018,3,5,5
2018,3,7,6
2018,3,13,7
2018,3,1,8
2018,3,9,9
2018,3,11,10
2018,3,12,11
2018,3,8,12
2018,3,14,13
2018,3,18,14
2018,3,16,15
2018,3,20,16
2018,3,10,17
2018,3,17,18
2018,3,19,19
2018,3,15,20
2018,4,2,1
2018,4,6,2
2018,4,8,3
2018,4,1,4
2018,4,9,5
2018,4,13,6
2018,4,12,7
2018,4,10,8
2018,4,16,9
2018,4,19,10
2018,4,18,11
2018,4,17,12
2018,4,15,13
2018,4,3,14
2018,4,20,15
2018,4,5,16
2018,4,4,17
2018,4,14,18
2018,4,7,19
2018,4,11,20
2018,5,1,1
2018,5,2,2
2018,5,5,3
2018,5,3,4
2018,5,6,5
2018,5,7,6
2018,5,9,7
2018,5,8,8
2018,5,15,9
2018,5,14,10
2018,5,18,11
2018,5,20,12
2018,5,17,13
2018,5,19,14
2018,5,11,15
2018,5,13,16
2018,5,4,17
2018,5,10,18
2018,5,12,19
2018,5,16,20
2018,6,1,1
2018,6,2,2
2018,6,3,3
2018,6,4,4
2018,6,5,5
2018,6,6,6
2018,6,10,7
2018,6,11,8
2018,6,20,9
2018,6,8,10
2018,6,16,11
2018,6,9,12
2018,6,19,13
2018,6,12,14
2018,6,18,15
2018,6,13,16
2018,6,17,17
2018,6,14,18
2018,6,15,19
2018,6,7,20
2018,7,1,1
2018,7,2,2
2018,7,3,3
2018,7,6,4
2018,7,4,5
2018,7,5,6
2018,7,7,7
2018,7,9,8
2018,7,8,9
2018,7,13,10
2018,7,16,11
2018,7,20,12
2018,7,11,13
2018,7,10,14
2018,7,19,15
2018,7,15,16
2018,7,18,17
2018,7,14,18
2018,7,12,19
2018,7,17,20
2018,8,1,1
2018,8,4,2
2018,8,6,3
2018,8,5,4
2018,8,3,5
2018,8,9,6
2018,8,2,7
2018,8,7,8
2018,8,12,9
2018,8,8,10
2018,8,10,11
2018,8,17,12
2018,8,15,13
2018,8,20,14
2018,8,18,15
2018,8,16,16
2018,8,19,17
2018,8,13,18
2018,8,11,19
2018,8,14,20
2018,9,4,1
2018,9,3,2
2018,9,6,3
2018,9,5,4
2018,9,8,5
2018,9,11,6
2018,9,16,7
2018,9,13,8
2018,9,18,9
2018,9,20,10
2018,9,12,11
2018,9,9,12
2018,9,17,13
2018,9,14,14
2018,9,15,15
2018,9,2,16
2018,9,19,17
2018,9,7,18
2018,9,1,19
2018,9,10,20
2018,10,2,1
2018,10,1,2
2018,10,3,3
2018,10,4,4
2018,10,6,5
2018,10,11,6
2018,10,10,7
2018,10,13,8
2018,10,7,9
2018,10,12,10
2018,10,17,11
2018,10,19,12
2018,10,14,13
2018,10,18,14
2018,10,0,20
2018,10,5,15
2018,10,8,16
2018,10,16,17
2018,10,15,18
2018,10,9,19
2018,11,14,1
2018,11,2,2
2018,11,3,3
2018,11,4,4
2018,11,7,5
2018,11,6,6
2018,11,10,7
2018,11,15,8
2018,11,13,9
2018,11,17,10
2018,11,5,11
2018,11,8,12
2018,11,19,13
2018,11,16,14
2018,11,9,15
2018,11,11,16
2018,11,18,17
2018,11,1,18
2018,11,12,19
2018,11,20,20
2018,12,1,1
2018,12,4,2
2018,12,3,3
2018,12,12,4
